id,age,education_level,job_title,department,location,employment_duration,salary
761,47,Masters,Scientist,R&D,Boston,9,79000
44,44,Bachelors,Manager,R&D,San Francisco,4,69000
341,29,High School,Engineer,Marketing,Chicago,20,70000
599,58,High School,Manager,R&D,Boston,15,75000
947,32,Masters,Scientist,HR,New York,20,90000
92,26,Masters,Engineer,Marketing,Boston,4,69000
971,56,High School,Engineer,R&D,San Francisco,23,73000
523,47,Bachelors,Engineer,R&D,San Francisco,4,59000
640,55,Bachelors,Scientist,Marketing,San Francisco,3,63000
449,61,High School,Manager,R&D,San Francisco,29,89000
810,25,Bachelors,Analyst,Sales,Chicago,1,51000
34,40,Masters,Engineer,Marketing,San Francisco,27,92000
974,59,High School,Engineer,R&D,San Francisco,15,65000
188,32,Masters,Manager,R&D,Chicago,13,88000
99,21,Bachelors,Scientist,Marketing,Chicago,26,86000
545,49,Masters,Manager,R&D,San Francisco,26,101000
891,64,PhD,Manager,Sales,San Francisco,27,112000
865,51,Masters,Engineer,Sales,San Francisco,14,79000
960,37,High School,Scientist,R&D,New York,11,66000
1,21,Bachelors,Manager,R&D,San Francisco,22,87000
541,49,PhD,Engineer,HR,Chicago,14,89000
197,24,High School,Manager,HR,New York,25,85000
982,50,High School,Engineer,R&D,Chicago,3,53000
633,28,Masters,Analyst,Marketing,Boston,6,66000
727,33,Masters,Scientist,Sales,Boston,2,72000
707,31,Bachelors,Engineer,R&D,New York,7,62000
468,41,Masters,Analyst,R&D,Chicago,3,63000
485,21,High School,Manager,Sales,Chicago,4,64000
526,61,High School,Engineer,HR,New York,27,77000
735,59,Masters,Scientist,R&D,Boston,23,93000
725,54,PhD,Scientist,R&D,Chicago,14,94000
235,48,Bachelors,Engineer,R&D,New York,11,66000
482,49,Bachelors,Scientist,Sales,Chicago,15,75000
96,52,Masters,Scientist,R&D,New York,5,75000
155,47,High School,Manager,Marketing,Chicago,12,72000
387,37,Bachelors,Manager,R&D,New York,6,71000
880,58,Bachelors,Engineer,Sales,Boston,13,68000
866,50,Bachelors,Engineer,R&D,Boston,3,58000
932,57,Masters,Scientist,Marketing,San Francisco,23,93000
530,34,PhD,Engineer,Marketing,Chicago,26,101000
890,37,Bachelors,Manager,Marketing,San Francisco,3,68000
907,29,High School,Scientist,HR,Boston,5,60000
72,56,High School,Manager,Sales,Chicago,15,75000
910,59,Bachelors,Analyst,R&D,San Francisco,5,55000
132,32,Bachelors,Scientist,R&D,Boston,2,62000
414,41,PhD,Engineer,R&D,Chicago,20,95000
326,63,High School,Analyst,R&D,New York,15,60000
547,58,PhD,Engineer,R&D,Boston,15,90000
443,57,PhD,Engineer,R&D,Chicago,21,96000
294,53,Bachelors,Scientist,Marketing,New York,28,88000
86,41,High School,Manager,Marketing,San Francisco,25,85000
233,30,Bachelors,Engineer,Marketing,Boston,8,63000
655,28,High School,Engineer,Marketing,Chicago,1,51000
108,42,Bachelors,Manager,Marketing,New York,4,69000
983,59,Bachelors,Scientist,HR,San Francisco,14,74000
525,37,Bachelors,Engineer,HR,San Francisco,1,56000
532,51,Masters,Engineer,Sales,Boston,15,80000
369,27,Masters,Engineer,R&D,New York,23,88000
874,50,Bachelors,Engineer,Sales,Chicago,25,80000
340,21,Bachelors,Analyst,Sales,San Francisco,14,64000
766,58,Masters,Scientist,HR,Boston,1,71000
799,24,High School,Scientist,HR,Boston,22,77000
832,58,Bachelors,Engineer,R&D,Boston,3,58000
623,45,Bachelors,Scientist,Sales,New York,19,79000
101,55,Masters,Analyst,R&D,Chicago,25,85000
50,21,Bachelors,Engineer,HR,San Francisco,28,83000
952,54,Bachelors,Scientist,Sales,Boston,19,79000
711,56,Bachelors,Manager,Marketing,New York,21,86000
594,42,Bachelors,Manager,Sales,New York,13,78000
662,22,High School,Engineer,HR,New York,28,78000
412,63,Bachelors,Analyst,HR,Boston,2,52000
861,61,Bachelors,Engineer,R&D,San Francisco,17,72000
293,46,Masters,Engineer,R&D,San Francisco,26,91000
398,44,High School,Engineer,R&D,Boston,19,69000
259,46,High School,Engineer,Marketing,Boston,6,56000
773,50,PhD,Scientist,Sales,Chicago,11,91000
958,45,Masters,Scientist,Sales,Boston,23,93000
618,26,Bachelors,Scientist,Marketing,New York,28,88000
321,32,PhD,Engineer,R&D,New York,20,95000
399,48,Bachelors,Engineer,Sales,New York,24,79000
416,25,High School,Scientist,R&D,New York,7,62000
615,24,High School,Scientist,R&D,New York,10,65000
536,62,PhD,Engineer,Marketing,New York,28,103000
774,21,Bachelors,Manager,R&D,Chicago,23,88000
875,22,High School,Engineer,R&D,Boston,25,75000
834,34,Masters,Manager,Sales,San Francisco,19,94000
772,33,Bachelors,Scientist,Marketing,Chicago,17,77000
45,56,High School,Analyst,R&D,San Francisco,20,65000
841,26,Bachelors,Manager,R&D,New York,28,93000
382,38,High School,Engineer,Marketing,New York,21,71000
898,28,Bachelors,Analyst,Sales,Chicago,20,70000
380,56,Masters,Engineer,Sales,New York,28,93000
804,38,Masters,Scientist,HR,New York,27,97000
681,61,PhD,Engineer,Sales,Chicago,2,77000
805,30,Masters,Scientist,Marketing,Boston,17,87000
718,21,Bachelors,Analyst,R&D,New York,20,70000
377,36,Bachelors,Engineer,HR,New York,10,65000
356,64,Masters,Manager,Sales,Boston,28,103000
524,59,Bachelors,Engineer,Marketing,Boston,15,70000
736,32,Bachelors,Scientist,R&D,Boston,7,67000
459,51,Bachelors,Scientist,R&D,New York,5,65000
818,55,High School,Engineer,R&D,New York,5,55000
2,24,High School,Engineer,R&D,San Francisco,4,54000
478,40,Masters,Analyst,R&D,Boston,14,74000
324,46,High School,Manager,R&D,Chicago,25,85000
137,59,Bachelors,Scientist,HR,Boston,6,66000
915,26,Bachelors,Scientist,R&D,New York,22,82000
53,59,PhD,Analyst,R&D,Boston,14,84000
929,34,Bachelors,Analyst,R&D,Boston,8,58000
376,43,PhD,Manager,Marketing,Chicago,18,103000
28,36,High School,Scientist,R&D,New York,16,71000
562,48,Masters,Engineer,Sales,Chicago,13,78000
537,59,Bachelors,Scientist,R&D,Chicago,18,78000
934,47,Masters,Scientist,R&D,New York,4,74000
680,33,Bachelors,Manager,R&D,Chicago,2,67000
642,46,Bachelors,Manager,R&D,New York,3,68000
663,41,Masters,Engineer,R&D,Chicago,18,83000
97,26,Masters,Manager,R&D,Boston,3,78000
715,59,PhD,Scientist,Sales,Chicago,16,96000
299,38,High School,Engineer,Sales,New York,29,79000
185,39,Bachelors,Manager,R&D,New York,19,84000
941,58,Bachelors,Engineer,R&D,San Francisco,9,64000
869,58,Masters,Manager,R&D,New York,10,85000
278,60,High School,Engineer,R&D,San Francisco,25,75000
502,48,Bachelors,Manager,HR,New York,20,85000
957,46,High School,Scientist,Sales,San Francisco,3,58000
954,54,Bachelors,Scientist,R&D,San Francisco,16,76000
673,62,Bachelors,Engineer,Sales,San Francisco,14,69000
683,58,Bachelors,Engineer,Sales,San Francisco,23,78000
613,48,Masters,Scientist,Marketing,San Francisco,1,71000
939,63,High School,Scientist,Sales,San Francisco,5,60000
142,51,PhD,Analyst,R&D,San Francisco,10,80000
234,31,Masters,Engineer,R&D,New York,3,68000
250,26,High School,Manager,HR,New York,23,83000
988,24,PhD,Engineer,HR,Chicago,19,94000
275,48,Masters,Engineer,R&D,New York,16,81000
962,47,PhD,Manager,R&D,New York,22,107000
808,35,Bachelors,Engineer,HR,Chicago,26,81000
688,56,Bachelors,Manager,HR,San Francisco,28,93000
60,52,High School,Scientist,R&D,New York,29,84000
286,49,High School,Scientist,Marketing,Boston,21,76000
919,45,Masters,Engineer,R&D,Boston,21,86000
117,51,High School,Scientist,Sales,Boston,28,83000
441,60,High School,Manager,Sales,New York,18,78000
253,22,Bachelors,Scientist,R&D,Boston,23,83000
433,55,Bachelors,Scientist,Marketing,San Francisco,28,88000
760,61,Bachelors,Analyst,Marketing,Chicago,27,77000
368,34,Bachelors,Scientist,Sales,Chicago,26,86000
493,40,Bachelors,Engineer,R&D,Boston,10,65000
128,31,Bachelors,Scientist,HR,San Francisco,25,85000
251,37,Bachelors,Engineer,Sales,Chicago,16,71000
246,57,Masters,Engineer,Marketing,Chicago,1,66000
780,26,Bachelors,Manager,Sales,San Francisco,21,86000
806,36,Bachelors,Engineer,HR,Chicago,17,72000
481,58,Bachelors,Analyst,Marketing,Chicago,20,70000
411,24,High School,Scientist,HR,New York,24,79000
87,56,Bachelors,Engineer,HR,New York,5,60000
489,31,PhD,Manager,R&D,San Francisco,4,89000
66,59,Masters,Engineer,R&D,Chicago,27,92000
544,23,Bachelors,Engineer,R&D,Boston,1,56000
955,52,Bachelors,Engineer,R&D,New York,26,81000
274,23,Masters,Engineer,HR,New York,26,91000
418,31,High School,Engineer,R&D,San Francisco,29,79000
268,50,PhD,Analyst,HR,San Francisco,25,95000
712,27,High School,Engineer,R&D,New York,13,63000
94,56,PhD,Scientist,R&D,New York,5,85000
870,45,Masters,Manager,R&D,San Francisco,28,103000
945,25,High School,Engineer,HR,San Francisco,8,58000
606,35,Masters,Scientist,R&D,San Francisco,25,95000
990,28,Masters,Manager,R&D,Boston,6,81000
756,62,Bachelors,Analyst,HR,New York,3,53000
78,27,Bachelors,Manager,Sales,Boston,22,87000
258,57,Masters,Analyst,R&D,San Francisco,22,82000
672,23,Bachelors,Engineer,HR,New York,28,83000
38,53,Bachelors,Scientist,R&D,Boston,2,62000
310,48,Bachelors,Engineer,Sales,Chicago,16,71000
763,26,Bachelors,Scientist,R&D,Boston,18,78000
737,42,Masters,Engineer,R&D,Chicago,11,76000
647,30,Bachelors,Engineer,R&D,San Francisco,12,67000
383,28,Masters,Engineer,R&D,San Francisco,1,66000
649,25,Masters,Manager,R&D,New York,8,83000
961,44,Bachelors,Analyst,R&D,Boston,7,57000
217,40,High School,Scientist,HR,New York,4,59000
12,45,Bachelors,Manager,Sales,San Francisco,8,73000
342,36,Masters,Manager,Sales,New York,27,102000
22,34,Bachelors,Engineer,Marketing,Chicago,19,74000
121,41,Bachelors,Manager,R&D,New York,14,79000
732,27,High School,Engineer,R&D,Boston,5,55000
653,58,Masters,Scientist,R&D,Boston,9,79000
659,31,Masters,Engineer,Marketing,San Francisco,15,80000
978,34,PhD,Scientist,R&D,New York,20,100000
216,48,Masters,Analyst,R&D,New York,21,81000
807,59,PhD,Engineer,Sales,New York,10,85000
39,22,Bachelors,Engineer,R&D,San Francisco,9,64000
396,54,Bachelors,Scientist,Marketing,New York,23,83000
338,34,High School,Analyst,R&D,Boston,22,67000
762,51,Bachelors,Engineer,R&D,Chicago,1,56000
944,57,PhD,Engineer,Marketing,New York,17,92000
505,23,High School,Engineer,R&D,San Francisco,6,56000
148,64,PhD,Analyst,HR,San Francisco,16,86000
6,40,Bachelors,Engineer,R&D,San Francisco,11,66000
35,40,Masters,Engineer,R&D,New York,10,75000
535,36,Bachelors,Analyst,Marketing,Chicago,23,73000
724,36,Bachelors,Engineer,Marketing,New York,13,68000
739,33,Bachelors,Engineer,R&D,New York,23,78000
203,26,Bachelors,Engineer,R&D,San Francisco,3,58000
648,39,Masters,Engineer,Marketing,San Francisco,23,88000
256,48,High School,Analyst,R&D,New York,2,47000
691,39,Bachelors,Scientist,R&D,Boston,13,73000
946,55,Masters,Analyst,R&D,San Francisco,21,81000
428,56,High School,Manager,R&D,Chicago,25,85000
621,26,Bachelors,Engineer,HR,Chicago,6,61000
996,37,Bachelors,Scientist,Sales,Chicago,17,77000
266,39,Bachelors,Scientist,HR,New York,23,83000
88,44,High School,Scientist,HR,New York,10,65000
605,31,PhD,Scientist,R&D,San Francisco,9,89000
419,61,High School,Manager,R&D,New York,17,77000
339,26,High School,Engineer,R&D,San Francisco,12,62000
853,41,Bachelors,Engineer,R&D,New York,18,73000
938,41,High School,Analyst,Sales,New York,22,67000
815,48,Bachelors,Engineer,HR,Boston,7,62000
374,28,High School,Analyst,R&D,Chicago,26,71000
965,50,High School,Engineer,Sales,San Francisco,8,58000
660,41,PhD,Engineer,R&D,New York,18,93000
513,44,High School,Engineer,Marketing,Chicago,25,75000
566,45,Masters,Manager,Sales,Chicago,26,101000
40,30,PhD,Manager,HR,Boston,4,89000
424,41,PhD,Manager,Sales,New York,5,90000
495,35,Masters,Scientist,Sales,San Francisco,9,79000
83,61,PhD,Analyst,Sales,Boston,23,93000
114,23,High School,Manager,Sales,New York,27,87000
583,58,Masters,Analyst,R&D,San Francisco,22,82000
270,23,Masters,Engineer,HR,Chicago,22,87000
585,30,High School,Engineer,Marketing,Boston,5,55000
694,49,High School,Engineer,HR,Chicago,13,63000
349,31,Bachelors,Engineer,Sales,Chicago,6,61000
183,36,Bachelors,Scientist,Sales,New York,9,69000
994,30,Bachelors,Engineer,Sales,Boston,6,61000
925,51,High School,Engineer,Marketing,Boston,11,61000
21,46,High School,Engineer,R&D,San Francisco,18,68000
789,33,Masters,Engineer,HR,Boston,19,84000
26,37,High School,Manager,HR,San Francisco,23,83000
589,52,High School,Manager,R&D,New York,10,70000
454,53,Bachelors,Scientist,Marketing,Chicago,1,61000
245,61,Bachelors,Analyst,R&D,New York,18,68000
200,59,PhD,Engineer,Sales,Chicago,1,76000
448,55,Masters,Engineer,Sales,San Francisco,23,88000
176,57,High School,Engineer,Sales,New York,28,78000
901,53,Bachelors,Engineer,R&D,San Francisco,11,66000
133,23,Masters,Manager,Sales,New York,2,77000
570,58,High School,Manager,R&D,San Francisco,27,87000
791,28,Bachelors,Scientist,R&D,Boston,22,82000
981,43,High School,Manager,Marketing,New York,21,81000
455,30,Bachelors,Scientist,Marketing,San Francisco,29,89000
11,45,Masters,Engineer,HR,New York,23,88000
122,38,Masters,Manager,R&D,San Francisco,5,80000
652,33,Bachelors,Scientist,Sales,Chicago,9,69000
969,36,Masters,Analyst,R&D,Chicago,26,86000
166,37,PhD,Scientist,HR,Chicago,8,88000
163,43,Bachelors,Scientist,Marketing,Boston,5,65000
446,27,High School,Engineer,Sales,San Francisco,24,74000
769,37,High School,Scientist,R&D,New York,8,63000
265,54,High School,Manager,Marketing,Chicago,12,72000
430,33,High School,Engineer,R&D,New York,5,55000
305,57,High School,Manager,Marketing,Boston,18,78000
842,57,High School,Engineer,R&D,New York,29,79000
835,58,Bachelors,Scientist,R&D,San Francisco,28,88000
395,41,High School,Analyst,Sales,Boston,6,51000
465,48,High School,Engineer,R&D,New York,16,66000
1000,49,High School,Engineer,R&D,Boston,21,71000
466,24,PhD,Analyst,HR,San Francisco,25,95000
757,42,Masters,Scientist,HR,San Francisco,27,97000
636,38,Bachelors,Scientist,R&D,Chicago,2,62000
42,52,High School,Engineer,Marketing,San Francisco,3,53000
723,33,Bachelors,Analyst,R&D,Chicago,25,75000
750,42,Bachelors,Engineer,R&D,Chicago,2,57000
131,61,Masters,Engineer,Marketing,Boston,7,72000
330,41,Bachelors,Scientist,Marketing,San Francisco,17,77000
177,27,Masters,Scientist,R&D,San Francisco,5,75000
717,64,PhD,Manager,R&D,Boston,29,114000
56,36,PhD,Scientist,R&D,New York,29,109000
18,45,Bachelors,Engineer,Sales,New York,21,76000
923,25,Bachelors,Manager,R&D,San Francisco,18,83000
976,32,Masters,Manager,Marketing,San Francisco,18,93000
426,30,Bachelors,Engineer,Marketing,Boston,2,57000
593,46,PhD,Scientist,R&D,Chicago,24,104000
622,51,Bachelors,Analyst,R&D,Chicago,8,58000
297,49,PhD,Scientist,Sales,Boston,14,94000
230,47,High School,Engineer,HR,New York,17,67000
381,27,Masters,Analyst,Marketing,Chicago,27,87000
726,44,Masters,Engineer,R&D,New York,20,85000
222,24,Bachelors,Engineer,Marketing,Boston,11,66000
284,28,Bachelors,Manager,HR,San Francisco,13,78000
632,35,Bachelors,Manager,HR,Chicago,6,71000
24,30,High School,Scientist,R&D,New York,14,69000
504,56,High School,Scientist,HR,San Francisco,26,81000
127,57,Masters,Engineer,R&D,San Francisco,22,87000
881,47,High School,Manager,R&D,San Francisco,5,65000
918,56,Bachelors,Manager,R&D,Boston,12,77000
529,32,High School,Scientist,R&D,San Francisco,21,76000
904,44,PhD,Engineer,HR,New York,23,98000
161,24,Bachelors,Engineer,R&D,New York,15,70000
32,45,Bachelors,Manager,R&D,New York,22,87000
325,53,High School,Scientist,R&D,New York,10,65000
496,53,High School,Analyst,HR,Boston,19,64000
328,43,High School,Scientist,HR,Chicago,10,65000
344,32,Bachelors,Engineer,HR,Boston,10,65000
933,38,PhD,Engineer,Marketing,Chicago,15,90000
333,43,Bachelors,Analyst,HR,Boston,2,52000
612,31,Masters,Scientist,HR,Boston,5,75000
231,24,Masters,Manager,R&D,San Francisco,2,77000
913,22,Masters,Analyst,R&D,Boston,8,68000
620,38,PhD,Engineer,R&D,San Francisco,3,78000
409,38,Masters,Engineer,Sales,San Francisco,21,86000
765,58,High School,Engineer,Sales,Chicago,24,74000
937,42,High School,Engineer,HR,Boston,18,68000
635,54,Bachelors,Engineer,R&D,Chicago,3,58000
777,60,Bachelors,Scientist,R&D,Boston,19,79000
781,57,PhD,Engineer,R&D,New York,26,101000
204,44,Bachelors,Scientist,Marketing,Chicago,1,61000
350,48,High School,Scientist,Marketing,Chicago,2,57000
664,37,High School,Analyst,Sales,Chicago,5,50000
14,22,Bachelors,Engineer,HR,Chicago,3,58000
666,49,High School,Scientist,Sales,Boston,14,69000
963,24,Masters,Manager,Marketing,Chicago,18,93000
831,28,High School,Analyst,Sales,San Francisco,27,72000
871,37,PhD,Analyst,R&D,Chicago,16,86000
624,24,Masters,Manager,Marketing,San Francisco,19,94000
533,27,Bachelors,Engineer,R&D,New York,20,75000
581,49,Bachelors,Manager,Marketing,San Francisco,8,73000
70,21,Masters,Analyst,Marketing,Chicago,23,83000
778,43,Bachelors,Scientist,Sales,New York,10,70000
186,61,Bachelors,Engineer,Marketing,Boston,23,78000
588,42,Masters,Scientist,R&D,Chicago,17,87000
435,64,Bachelors,Engineer,Marketing,Boston,9,64000
677,25,Bachelors,Scientist,Sales,San Francisco,13,73000
926,23,Bachelors,Scientist,R&D,San Francisco,13,73000
312,44,Masters,Manager,Marketing,Chicago,9,84000
928,24,High School,Scientist,HR,New York,15,70000
169,42,High School,Engineer,R&D,San Francisco,25,75000
196,39,High School,Manager,HR,Boston,14,74000
893,40,High School,Scientist,HR,San Francisco,22,77000
267,38,Bachelors,Engineer,Marketing,New York,5,60000
639,53,Bachelors,Engineer,R&D,San Francisco,11,66000
899,47,Bachelors,Manager,R&D,Chicago,24,89000
220,41,Bachelors,Engineer,R&D,Chicago,20,75000
237,60,Masters,Analyst,Sales,Chicago,1,61000
751,39,Masters,Analyst,Marketing,New York,28,88000
792,37,PhD,Analyst,Sales,Boston,23,93000
487,59,Bachelors,Engineer,Sales,San Francisco,7,62000
591,56,Masters,Scientist,Marketing,Chicago,3,73000
393,51,Masters,Scientist,HR,New York,8,78000
54,61,PhD,Manager,R&D,Chicago,5,90000
164,34,Bachelors,Engineer,R&D,New York,9,64000
614,46,PhD,Engineer,Sales,Boston,27,102000
858,58,Bachelors,Scientist,Sales,New York,7,67000
538,64,Masters,Analyst,Sales,New York,7,67000
511,34,High School,Analyst,R&D,Boston,24,69000
239,54,PhD,Manager,R&D,Boston,18,103000
564,21,Masters,Scientist,HR,New York,25,95000
104,55,High School,Scientist,R&D,Boston,17,72000
887,58,High School,Manager,HR,San Francisco,11,71000
700,63,Bachelors,Manager,Sales,New York,6,71000
886,36,PhD,Manager,Marketing,Boston,7,92000
389,45,PhD,Scientist,Sales,Chicago,2,82000
548,48,High School,Scientist,Marketing,Chicago,15,70000
195,24,Bachelors,Scientist,R&D,San Francisco,16,76000
477,30,Masters,Scientist,R&D,San Francisco,28,98000
843,22,Masters,Manager,Sales,Chicago,20,95000
120,56,Masters,Engineer,Sales,San Francisco,26,91000
159,53,High School,Scientist,Marketing,Boston,5,60000
754,51,Bachelors,Engineer,HR,Boston,20,75000
626,61,High School,Engineer,R&D,San Francisco,16,66000
49,21,Bachelors,Manager,HR,Boston,10,75000
308,24,High School,Engineer,Marketing,Chicago,23,73000
719,57,High School,Engineer,HR,Boston,16,66000
403,28,High School,Scientist,R&D,Chicago,19,74000
152,40,Bachelors,Engineer,R&D,San Francisco,7,62000
242,45,High School,Engineer,R&D,Chicago,22,72000
463,24,Bachelors,Scientist,R&D,Chicago,26,86000
959,59,Masters,Manager,Marketing,Chicago,10,85000
697,46,Bachelors,Engineer,R&D,New York,17,72000
575,41,Bachelors,Analyst,HR,San Francisco,18,68000
851,40,Bachelors,Engineer,Sales,Chicago,7,62000
417,37,Bachelors,Engineer,R&D,Chicago,29,84000
970,35,Masters,Engineer,R&D,Boston,19,84000
825,60,PhD,Scientist,R&D,New York,18,98000
713,40,High School,Manager,R&D,San Francisco,5,65000
160,25,Bachelors,Engineer,R&D,New York,8,63000
375,37,Masters,Engineer,Sales,Boston,13,78000
37,60,Bachelors,Engineer,Marketing,Chicago,18,73000
359,22,PhD,Scientist,HR,New York,4,84000
643,64,High School,Engineer,HR,Chicago,2,52000
27,26,High School,Engineer,Sales,Chicago,26,76000
897,54,Masters,Scientist,HR,Chicago,3,73000
521,36,Bachelors,Manager,Marketing,San Francisco,12,77000
391,57,Masters,Scientist,Marketing,New York,4,74000
746,64,PhD,Engineer,Marketing,Chicago,11,86000
392,44,PhD,Analyst,Sales,Chicago,20,90000
803,58,Bachelors,Scientist,Sales,Chicago,16,76000
671,30,Bachelors,Engineer,Sales,New York,7,62000
214,61,Masters,Engineer,HR,San Francisco,15,80000
198,63,Masters,Engineer,R&D,San Francisco,11,76000
309,29,Bachelors,Engineer,R&D,Boston,26,81000
786,33,High School,Engineer,R&D,New York,7,57000
171,37,Masters,Engineer,Sales,Boston,12,77000
106,34,Masters,Scientist,HR,San Francisco,4,74000
826,51,Masters,Manager,R&D,San Francisco,1,76000
552,50,PhD,Engineer,R&D,Boston,11,86000
173,54,Bachelors,Engineer,Sales,Chicago,9,64000
734,59,PhD,Manager,HR,San Francisco,6,91000
347,49,Bachelors,Engineer,R&D,Boston,4,59000
561,47,Bachelors,Engineer,Marketing,New York,14,69000
911,59,Bachelors,Manager,R&D,New York,27,92000
722,54,Bachelors,Engineer,Sales,San Francisco,21,76000
936,55,Masters,Manager,Marketing,Boston,11,86000
74,63,Bachelors,Engineer,R&D,Boston,16,71000
423,52,High School,Engineer,Sales,Chicago,8,58000
867,54,Masters,Manager,R&D,San Francisco,25,100000
29,21,PhD,Manager,R&D,San Francisco,12,97000
837,64,Masters,Manager,R&D,Chicago,2,77000
840,38,Masters,Manager,Sales,New York,4,79000
23,29,Bachelors,Engineer,HR,Chicago,22,77000
964,47,Bachelors,Analyst,Sales,New York,14,64000
500,25,Masters,Analyst,R&D,Chicago,3,63000
785,49,High School,Manager,R&D,Chicago,11,71000
401,54,High School,Engineer,Marketing,Boston,23,73000
801,30,Bachelors,Manager,R&D,Chicago,3,68000
224,60,High School,Engineer,Marketing,New York,23,73000
924,45,Bachelors,Scientist,HR,Chicago,20,80000
79,25,High School,Scientist,Sales,Boston,20,75000
679,31,Bachelors,Manager,R&D,Chicago,9,74000
916,26,Masters,Scientist,Sales,New York,3,73000
577,49,Bachelors,Analyst,Marketing,New York,15,65000
973,28,Bachelors,Manager,HR,New York,8,73000
617,39,PhD,Engineer,HR,Chicago,23,98000
145,24,Bachelors,Scientist,Marketing,Boston,24,84000
125,62,High School,Scientist,R&D,Chicago,22,77000
590,38,Bachelors,Scientist,HR,New York,10,70000
474,48,Masters,Scientist,R&D,Chicago,9,79000
758,27,High School,Engineer,HR,Chicago,22,72000
105,63,Bachelors,Engineer,R&D,San Francisco,13,68000
771,31,PhD,Manager,Sales,San Francisco,22,107000
674,46,Bachelors,Engineer,R&D,New York,4,59000
313,53,Masters,Engineer,Marketing,San Francisco,28,93000
168,50,Masters,Manager,Sales,Chicago,27,102000
317,44,High School,Engineer,Marketing,Chicago,25,75000
542,22,Bachelors,Engineer,Marketing,Boston,23,78000
77,25,High School,Engineer,R&D,New York,4,54000
